Course Name/Group Name,Credits,Instructor,Time,Time.1,Time.2,Cleaned_Time_3,day1,day2,day3,start_time123,end_time123,day4,day5,start_time456,end_time456
BIOMATERIAL  PHYSIOLOGY & BIO-MEMS LABORATORY(BSE412A),1-0-6-0(9),"Santosh Misra(I), Rakesh Majhi(O)",T (BSBE SR)  17:10-18:00,,MT 14:00-17:00,,T,1,,17:10 PM,18:00 PM,,,,
METHODS IN BIOTECHNOLOGY-I  EXPERIMENTAL BIOSEPERATION(BSE492A),3-0-0-0(9),ASHOK  KUMAR (I),M (BSBE SR) Th (BSBE SR)  09:00-10:15,,,,M,Th,,9:00 AM,10:15 AM,,,,
PROFESSIONAL COMMUNICATION(BSE601),1-0-0-0(0),SUBRAMANIAM  GANESH   (I),F 08:00-09:00,,,,F,0,,8:00 AM,9:00 AM,,,,
PROFESSIONAL COMMUNICATION(BSE601A),1-0-0-0(0),SUBRAMANIAM  GANESH   (I),F (L06)  08:00-09:00,,,,F,0,,8:00 AM,9:00 AM,,,,
MODERN INSTRUMENTAL METHODS IN BIOLOGICAL SCIENCES(BSE611),3-0-0-0(3),"Nitin  Mohan(I), Dibyendu Kumar Das  (O)",MTh 12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
MODERN INSTRUMENTAL METHODS IN BIOLOGICAL SCIENCES(BSE611A),3-0-0-0(9),"Nitin  Mohan(I), Dibyendu Kumar Das  (O)",M (BSBE SR) Th (BSBE SR)  12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
BIOMATERIALS(BSE613),3-0-0-0(11),DHIRENDRA S KATTI(I),TWTh 08:00-09:00,,,,T,W,Th,8:00 AM,9:00 AM,,,,
BIOMATERIALS(BSE613A),3-0-0-2(11),DHIRENDRA S KATTI(I),T (T201) W (T201) Th (T201)  08:00-09:00,,,,T,W,Th,8:00 AM,9:00 AM,,,,
BIOCHEMISTRY STRUCTURAL BIOLOGY(BSE631),3-0-0-0(9),RAMASUBBU   SANKARARAMAKRISHNAN(I),WF 12:00-13:15,,,,W,F,,12:00 PM,13:15 PM,,,,
BIOCHEMISTRY STRUCTURAL BIOLOGY(BSE631A),3-0-0-0(9),RAMASUBBU   SANKARARAMAKRISHNAN(I),W (BSBE SR) F (BSBE SR)  12:00-13:15,,,,W,F,,12:00 PM,13:15 PM,,,,
MICROBIOLOGY AND IMMUNOLOGY(BSE642),3-0-0-0(9),SARAVANAN MATHESHWARAN(I),WF 17:00-18:30,,,,W,F,,17:00 PM,18:30 PM,,,,
MICROBIOLOGY AND IMMUNOLOGY(BSE642A),3-0-0-0(9),SARAVANAN MATHESHWARAN(I),W (T212) F (T212)  17:10-18:15,,,,W,F,,17:10 PM,18:15 PM,,,,
CELLULAR MOLECULAR BIOLOGY(BSE651),3-0-0-0(9),"JAYANDHARAN GIRIDHARA RAO(I), Robert Sonowal(O)",MTh 10:30-12:00,,,,M,Th,,10:30 AM,12:00 PM,,,,
CELLULAR MOLECULAR BIOLOGY(BSE651A),3-0-0-0(9),"JAYANDHARAN GIRIDHARA RAO(I), Robert Sonowal(O)",M (BSBE SR) Th (BSBE SR)  10:35-11:50,,,,M,Th,,10:35 AM,11:50 AM,,,,
PHYSIOLOGY(BSE655),3-0-0-0(9),"JONAKI  SEN (I), BUSHRA  ATEEQ (O)",MTh 14:00-15:15,,,,M,Th,,14:00 PM,15:15 PM,,,,
PHYSIOLOGY(BSE655A),3-0-0-0(9),"JONAKI  SEN (I), BUSHRA  ATEEQ (O)",M (BSBE SR) Th (BSBE SR)  14:00-15:15,,,,M,Th,,14:00 PM,15:15 PM,,,,
NEUROBIOLOGY(BSE656),3-0-0-0(9),NITIN GUPTA(I),WF 10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
NEUROBIOLOGY(BSE656A),3-0-0-0(9),NITIN GUPTA(I),W (L06) F (L06)  10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
STATISTICS FOR MODERN BIOLOGY(BSE658),3-0-0-0(9),Arjun  Ramakrishnan(I),"T 10:00-11:00 ,WF 15:00-16:00",,,,T,1,,10:00 AM,11:00 AM,W,F,15:00 PM,16:00 PM
STATISTICS FOR MODERN BIOLOGY(BSE658A),3-0-0-0(9),Arjun  Ramakrishnan(I),"T (T111)  10:00-11:00 ,W (T111) F (T111)  15:00-16:00",,,,T,1,,10:00 AM,11:00 AM,W,F,15:00 PM,16:00 PM
BIOLOGICAL MEMBRANES(BSE661),3-0-0-0(9),Appu Singh(I),WF 09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
BIOLOGICAL MEMBRANES(BSE661A),3-0-0-0(9),Appu Singh(I),W (BSBE SR) F (BSBE SR)  09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
M.TECH THESIS(BSE699),0-0-0-0(0),"DPGCBSBE (I), DUGCBSBE (O)",,,,,,,,,,,,,
SEMINAR(BSE701),0-0-0-0(0),DPGCBSBE (I),,,,,,,,,,,,,
SEMINAR(BSE701A),0-0-0-0(0),DPGCBSBE (I),,,,,,,,,,,,,
SEMINAR(BSE702),0-0-0-0(0),DPGCBSBE (I),,,,,,,,,,,,,
SEMINAR(BSE702A),0-0-0-0(0),DPGCBSBE (I),,,,,,,,,,,,,
PHD THESIS(BSE799),0-0-0-0(0),DPGCBSBE (I),,,,,,,,,,,,,
INTRODUCTION TO BIOLOGY(LIF111),2-0-0-0(6),"PRADIP  SINHA (I), ARUN KUMAR SHUKLA(O)",W (L20) F (L20)  11:00-12:00,,,,W,F,,11:00 AM,12:00 PM,,,,
ENVIRONMENT AND SUSTAINABILITY(CE212),3-0-0-0(9),"ANUBHA  GOEL (I), Abhishek (O)",M (L17) W (L17) Th (L17)  08:00-09:00,,,,M,W,Th,8:00 AM,9:00 AM,,,,
CIVIL ENGINEERING MATERIALS(CE243),2-0-2-0(8),"SYAM NAIR(I), SAMIT  RAY CHAUDHURI (O), Amar Nath Chowdhury(O)",M (L16) W (L16)  12:00-13:00,,TThF 14:00-17:00,,M,W,,12:00 PM,13:00 PM,,,,
FLUID MECHANICS FOR CIVIL ENGINEERS(CE261),3-0-1-0(10),"Chunendra Sahu(I), RAJESH  SRIVASTAVA (O)",M (L18) W (L18) F (L18)  17:00-18:00,,TThF 14:00-17:00,,M,W,F,17:00 PM,18:00 PM,,,,
ENVIRONMENTAL QUALITY AND POLLUTION(CE311A),3-0-3-0(12),"MUKESH  SHARMA (I), TARUN  GUPTA (O), VINOD  TARE (O)","M (L16) F (L16)  08:00-09:00 ,T (L16)  09:00-10:00",,MTWThF 14:00-17:00,,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM
GEOINFORMATICS(CE331A),3-0-2-0(11),BHARAT  LOHANI     (I),T (L16) W (L16) Th (L16)  08:00-09:00,,MTTh 14:00-17:00,,T,W,T,8:00 AM,9:00 AM,,,,
CIVIL ENGINEERING COMMUNICATION SKILLS(CE341),0-0-0-2(2),ARGHYA DAS(I),T (L16)  10:00-12:00,,,,T,1,,10:00 AM,12:00 PM,,,,
SOIL MECHANICS(CE351A),2-0-2-0(8),Jagdish  Sahoo(I),W (L02) F (L02)  15:00-16:00,,MTTh 14:00-17:00,,W,F,,15:00 PM,16:00 PM,,,,
ENGINEERING HYDROLOGY(CE361A),2-0-0-0(6),"Tushar Apurv(I), SAUMYEN  GUHA (O)",T (L02) Th (L02)  17:00-18:00,,,,T,Th,,17:00 PM,18:00 PM,,,,
DESIGN OF STEEL STRUCTURES(CE371A),2-0-0-0(6),SUDIB KUMAR MISHRA(I),W (L01) F (L01)  14:00-15:00,,,,W,F,,14:00 PM,15:00 PM,,,,
CONSTRUCTION MANAGEMENT(CE441B),3-0-0-0(5),SUPARNO MUKHOPADHYAY(I),WF 15:00-16:15,,,,W,F,,15:00 PM,16:15 PM,,,,
APPLICATION OF GEOTECHNICAL ENGINEERING(CE451A),3-0-0-2(11),Bipin  Gupta(I),M (T210) Th (T210)  10:30-12:00,T (T211)  17:10-18:15,,,M,Th,,10:30 AM,12:00 PM,,,,
SPECIAL TOPICS IN STRUCTURAL DESIGN(CE471A),3-0-0-2(11),"Chinmoy Kolay(I), Amar Nath Chowdhury(O)","T (T208)  14:00-15:30 ,M (T208)  15:30-17:00",F (T208)  17:00-18:00,,,T,1,,14:00 PM,15:30 PM,M,,15:30 PM,17:00 PM
TRANSPORTATION FACILITIES DESIGN(CE481A),3-0-0-2(11),"Venkatesan  Kanagaraj(I), Prabin Ashish(O)",M (L12) Th (L12)  12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
MATHEMATICS FOR CIVIL ENGINEERS(CE603),2-0-0-0(5),Hemant Gehlot(I),M 09:00-10:15,,,,M,0,,9:00 AM,10:15 AM,,,,
MATHEMATICS FOR CIVIL ENGINEERS(CE603A),2-0-0-0(5),Hemant Gehlot(I),M (L13)  09:00-10:15,,,,M,0,,9:00 AM,10:15 AM,,,,
NUMERICAL METHODS FOR CIVIL ENGINEERS(CE604),2-0-0-0(5),SAMIT  RAY CHAUDHURI (I),TTh 15:30-17:00,,,,T,Th,,15:30 PM,17:00 PM,,,,
NUMERICAL METHODS FOR CIVIL ENGINEERS(CE604A),2-0-0-0(5),SAMIT  RAY CHAUDHURI (I),Th (T104)  15:30-17:00,,,,T,h,,15:30 PM,17:00 PM,,,,
PROBABILITY AND STATISTICS FOR CIVIL ENGINEERS(CE605),2-0-0-0(5),Balaji Devaraju(I),T 15:30-17:00,,,,T,1,,15:30 PM,17:00 PM,,,,
PROBABILITY AND STATISTICS FOR CIVIL ENGINEERS(CE605A),2-0-0-0(5),Balaji Devaraju(I),T (T108)  15:30-17:00,,,,T,1,,15:30 PM,17:00 PM,,,,
OPTIMIZATION METHODS FOR CIVIL ENGINEERS(CE606M),3-0-0-0(5),SUPARNO MUKHOPADHYAY(I),M (T109) Th (T109)  14:00-15:15,,,,M,Th,,14:00 PM,15:15 PM,,,,
ADVANCED HYDROLOGY(CE610),3-0-0-0(9),"Tushar Apurv(I), SAUMYEN  GUHA (O)",WF 09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
ADVANCED HYDROLOGY(CE610A),3-0-0-0(9),"Tushar Apurv(I), SAUMYEN  GUHA (O)",W (T102) F (T102)  09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
ENGINEERING HYDRAULICS(CE611),3-0-0-0(9),"Chunendra Sahu(I), RAJESH  SRIVASTAVA (O)",WF 10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
ADVANCED HYDRAULICS(CE611A),3-0-0-0(9),"Chunendra Sahu(I), RAJESH  SRIVASTAVA (O)",W (T110) F (T110)  10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
VADOSE ZONE HYDROLOGY(CE618),3-0-0-0(9),RICHA  OJHA (I),MTh 12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
VADOSE ZONE HYDROLOGY(CE618A),3-0-0-0(9),RICHA  OJHA (I),M (T204) Th (T204)  12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
STRUCTURAL DYNAMICS(CE620),3-0-0-0(9),VINAY KUMAR  GUPTA (I),MTh 09:00-10:15,,,,M,Th,,9:00 AM,10:15 AM,,,,
STRUCTURAL DYNAMICS(CE620A),3-0-0-0(9),VINAY KUMAR  GUPTA (I),M (T204) Th (T204)  09:00-10:15,,,,M,Th,,9:00 AM,10:15 AM,,,,
ENGINEERING MECHANICS(CE621),3-0-0-4(9),DURGESH C  RAI (I),MTh 10:30-12:00,,,,M,Th,,10:30 AM,12:00 PM,,,,
ENGINEERING MECHANICS(CE621A),3-0-0-0(9),DURGESH C  RAI (I),M (L08) Th (L08)  10:30-12:00,,,,M,Th,,10:30 AM,12:00 PM,,,,
ROCK MECHANICS(CE630),3-0-0-0(9),Gaurav  Tiwari(I),MTh 09:00-10:15,,,,M,Th,,9:00 AM,10:15 AM,,,,
ROCK MECHANICS(CE630A),3-0-0-0(9),Gaurav  Tiwari(I),M (L15) Th (L15)  09:00-10:15,,,,M,Th,,9:00 AM,10:15 AM,,,,
ADVANCED GEOTECHNICAL ENGINEERING(CE631),3-0-0-0(9),RAJESH SATHIYAMOORTHY(I),MTh 12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
ADVANCED GEOTECHNICAL ENGINEERING(CE631A),3-0-0-0(9),RAJESH SATHIYAMOORTHY(I),M (T210) Th (T210)  12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
GEOTECHNICAL MEASUREMENTS AND EXPLORATION(CE638),2-0-3-0(6),NIHAR RANJAN  PATRA (I),WF 09:00-10:15,,WF 14:00-16:50,,W,F,,9:00 AM,10:15 AM,,,,
GEOTECHNICAL MEASUREMENTS AND EXPLORATION(CE638A),2-0-3-0(9),NIHAR RANJAN  PATRA (I),W (T104) F (T104)  09:00-10:15,,WF 14:00-16:50,,W,F,,9:00 AM,10:15 AM,,,,
ADVANCEMENTS IN CONCRETE(CE653M),3-0-0-0(5),HARISH K V(I),M (T209) Th (T209)  12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
CONCRETE SCIENCE AND ENGINEERING PROPERTIES(CE654M),3-0-0-0(5),HARISH K V(I),M (T205) Th (T205)  12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
PHYSICO-CHEMICAL PRINCIPLES AND PROCESS(CE664),3-0-0-0(9),ABHAS SINGH(I),WF 10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
PHYSICO-CHEMICAL PRINCIPLES AND PROCESS(CE664A),3-0-0-0(9),ABHAS SINGH(I),W (T104) F (T104)  10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
ECOLOGICAL AND BIOLOGICAL PRINCIPLES AND PROCESS(CE665),3-0-0-0(9),PURNENDU  BOSE (I),WF 17:00-18:30,,,,W,F,,17:00 PM,18:30 PM,,,,
ECOLOGICAL AND BIOLOGICAL PRINCIPLES AND PROCESS(CE665A),3-0-0-0(9),PURNENDU  BOSE (I),W (T107) F (T107)  17:00-18:30,,,,W,F,,17:00 PM,18:30 PM,,,,
