,Course Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,day4,day5,start_time_7,end_time_7,day7,start_time_8,end_time_8,day8,day9,day10,day11,start_time_1,start_time_2,start_time_3,end_time_1,end_time_2,end_time_3,start_time_4,start_time_5,end_time_4,end_time_5,end_time_9,end_time_10,end_time_11,start_time_9,start_time_10,start_time_11,Course Code
83,BIOLOGICAL MEMBRANES(BSE661),9,Appu Singh(I),WF 09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,BSE661
84,BIOLOGICAL MEMBRANES(BSE661A),9,Appu Singh(I),W (BSBE SR) F (BSBE SR)  09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,BSE661A
85,M.TECH THESIS(BSE699),0,"DPGCBSBE (I), DUGCBSBE (O)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSE699
86,SEMINAR(BSE701),0,DPGCBSBE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSE701
87,SEMINAR(BSE701A),0,DPGCBSBE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSE701A
88,SEMINAR(BSE702),0,DPGCBSBE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSE702
89,SEMINAR(BSE702A),0,DPGCBSBE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSE702A
90,PHD THESIS(BSE799),0,DPGCBSBE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSE799
91,INTRODUCTION TO BIOLOGY(LIF111),6,"PRADIP  SINHA (I), ARUN KUMAR SHUKLA(O)",W (L20) F (L20)  11:00-12:00,,,W,F,,,,,,,,,,,,,11:00 AM,11:00 AM,11:00 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,LIF111
92,ENVIRONMENT AND SUSTAINABILITY(CE212),9,"ANUBHA  GOEL (I), Abhishek (O)",M (L17) W (L17) Th (L17)  08:00-09:00,,,M,W,Th,,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,CE212
93,CIVIL ENGINEERING MATERIALS(CE243),8,"SYAM NAIR(I), SAMIT  RAY CHAUDHURI (O), Amar Nath Chowdhury(O)",M (L16) W (L16)  12:00-13:00,,TThF 14:00-17:00,M,W,,,,,,,,,,T,Th,F,12:00 PM,12:00 PM,12:00 PM,13:00 PM,13:00 PM,13:00 PM,,,,,5:00 PM,5:00 PM,5:00 PM,2:00 PM,2:00 PM,2:00 PM,CE243
