Course Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,day4,day5,start_time_7,end_time_7,day7,start_time_8,end_time_8,day8,day9,day10,day11,start_time_1,start_time_2,start_time_3,end_time_1,end_time_2,end_time_3,start_time_4,start_time_5,end_time_4,end_time_5,end_time_9,end_time_10,end_time_11,start_time_9,start_time_10,start_time_11,Course Code
ADVANCED STATISTICAL METHODS FOR BUSINESS ANALYTICS(IME692),3-0-0-0(9),RAGHU NANDAN SENGUPTA(I),"F 14:00-15:00 ,T 17:00-18:00",,,F,1,,T,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:00 PM,15:00 PM,15:00 PM,17:00 PM,17:00 PM,18:00 PM,18:00 PM,,,,,,,IME692
ADVANCED STATISTICAL METHODS FOR BUSINESS ANALYTICS(IME692A),3-0-0-0(9),RAGHU NANDAN SENGUPTA(I),"F (C3)  14:00-15:00 ,T (C3)  17:00-18:00",,,F,1,,T,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:00 PM,15:00 PM,15:00 PM,17:00 PM,17:00 PM,18:00 PM,18:00 PM,,,,,,,IME692A
SEMINAR(IME698),0-0-0-0(0),DPGCIME (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IME698
SEMINAR(IME698A),0-0-0-0(0),DPGCIME (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IME698A
M TECH THESIS(IME699),0-0-0-0(0),"DPGCIME (I), DUGCIME (O)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IME699
STATISTICAL METHODS FOR MANAGEMENT RESEARCH(IME701),3-0-0-0(9),SRI VANAMALLA V(I),MTh 12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,IME701
STATISTICAL METHODS FOR MANAGEMENT RESEARCH(IME701A),3-0-0-0(9),SRI VANAMALLA V(I),M (C3) Th (C3)  12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,IME701A
PHD THESIS(IME799),0-0-0-0(0),DPGCIME (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IME799
ACCOUNTING & FINANCE(MBA601),3-0-0-0(10),Harshal Mulay(I),"T 10:00-11:00 ,M 17:00-18:00",,,T,1,,M,,,,,,,,,,,10:00 AM,10:00 AM,10:00 AM,11:00 AM,11:00 AM,11:00 AM,17:00 PM,17:00 PM,18:00 PM,18:00 PM,,,,,,,MBA601
ACCOUNTING & FINANCE(MBA601A),3-0-0-1(10),Harshal Mulay(I),"T (C5)  10:00-11:00 ,M (C5)  17:00-18:00",,,T,1,,M,,,,,,,,,,,10:00 AM,10:00 AM,10:00 AM,11:00 AM,11:00 AM,11:00 AM,17:00 PM,17:00 PM,18:00 PM,18:00 PM,,,,,,,MBA601A
ECONOMIC ANALYSIS FOR MANAGEMENT(MBA606),3-0-0-0(10),Vinay Ramani(I),WF 09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,MBA606
ECONOMIC ANALYSIS FOR MANAGEMENT(MBA606A),3-0-0-1(10),Vinay Ramani(I),W (C5) F (C5)  09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,MBA606A
ORGANIZATION STRUCTURE AND BEHAVIOUR(MBA611),3-0-0-0(10),"RAHUL VARMAN(I), AMIT SHUKLA(O)",MTh 10:30-12:00,,,M,Th,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,MBA611
ORGANIZATION STRUCTURE AND DESIGN(MBA611A),3-0-0-1(10),"RAHUL VARMAN(I), AMIT SHUKLA(O)",M (C5) Th (C5)  10:30-12:00,,,M,Th,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,MBA611A
STRATEGIC MANAGEMENT(MBA623),3-0-0-0(10),R R K  SHARMA (I),WF 09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,MBA623
STRATEGIC MANAGEMENT(MBA623A),3-0-0-0(10),R R K  SHARMA (I),W (C1) F (C1)  09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,MBA623A
MARKETING MANAGEMENT(MBA631),3-0-0-0(10),Jitender Kumar(I),"T 14:00-15:15 ,M 15:30-17:00",,,T,1,,M,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,,,,,,,MBA631
MARKETING MANAGEMENT(MBA631A),3-0-0-1(10),Jitender Kumar(I),"T (C5)  14:00-15:15 ,M (C5)  15:30-17:00",,,T,1,,M,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,,,,,,,MBA631A
BUSINESS PROCESS MANAGEMENT(MBA647),3-0-0-0(10),SUBHAS CHANDRA  MISRA (I),MTh 10:30-12:00,,,M,Th,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,MBA647
BUSINESS PROCESS MANAGEMENT(MBA647A),3-0-0-0(10),SUBHAS CHANDRA  MISRA (I),M (C1) Th (C1)  10:30-12:00,,,M,Th,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,MBA647A
QUANTITATIVE METHODS FOR DECISION MAKING(MBA651),3-0-0-0(10),"FAIZ HAMID(I), AVIJIT KHANRA(O)",TTh 15:30-17:00,,,T,Th,,,,,,,,,,,,,15:30 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,17:00 PM,,,,,,,,,,,MBA651
QUANTITATIVE METHODS FOR DECISION MAKING(MBA651A),3-0-0-1(10),"FAIZ HAMID(I), AVIJIT KHANRA(O)",T (C5) Th (C5)  15:30-17:00,,,T,Th,,,,,,,,,,,,,15:30 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,17:00 PM,,,,,,,,,,,MBA651A
STATISTICAL MODELLING FOR BUSINESS ANALYTICS(MBA652),3-0-0-0(10),DEVLINA CHATTERJEE(I),MTh 12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,MBA652
STATISTICAL MODELLING FOR BUSINESS ANALYTICS(MBA652A),3-0-0-1(10),DEVLINA CHATTERJEE(I),M (C2) Th (C2)  12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,MBA652A
SUPPLY CHAIN MANAGEMENT(MBA664),3-0-0-0(10),Vipin B(I),TTh 15:30-17:00,,,T,Th,,,,,,,,,,,,,15:30 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,17:00 PM,,,,,,,,,,,MBA664
SUPPLY CHAIN MANAGEMENT(MBA664A),3-0-0-0(10),Vipin B(I),T (C4) Th (C4)  15:30-17:00,,,T,Th,,,,,,,,,,,,,15:30 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,17:00 PM,,,,,,,,,,,MBA664A
PROJECT MANAGEMENT(MBA666),3-0-0-0(10),Suvendu Naskar(I),"T 12:00-13:00 ,W 14:00-15:00",,,T,1,,W,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:00 PM,13:00 PM,13:00 PM,14:00 PM,14:00 PM,15:00 PM,15:00 PM,,,,,,,MBA666
PROJECT MANAGEMENT(MBA666A),3-0-0-1(10),Suvendu Naskar(I),"T (C2)  12:00-13:00 ,W (C2)  14:00-15:00",,,T,1,,W,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:00 PM,13:00 PM,13:00 PM,14:00 PM,14:00 PM,15:00 PM,15:00 PM,,,,,,,MBA666A
INTRODUCTION TO POLICY MAKING(MBA669),3-0-0-0(10),Jothsna Rajan(I),"T 12:00-13:00 ,W 14:00-15:00",,,T,1,,W,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:00 PM,13:00 PM,13:00 PM,14:00 PM,14:00 PM,15:00 PM,15:00 PM,,,,,,,MBA669
INTRODUCTION TO POLICY MAKING(MBA669A),3-0-0-0(10),Jothsna Rajan(I),"T (C1)  12:00-13:15 ,W (C1)  14:00-15:15",,,T,1,,W,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,,,,,,,MBA669A
MANAGING SERVICE OPERATIONS(MBA671),3-0-0-0(9),Prerna Gautam(I),MTh 12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,MBA671
