,Course Name/Group Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,start_time123,end_time123,day4,day5,start_time456,end_time456,start_time7,end_time7,day7,start_time8,end_time8,day8
731,MODELING AND TURBULENT COMBUSTION(ME745A),3-0-0-0(9),SANTANU  DE (I),M (WL228) Th (WL228)  09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
732,COMPUTER AIDED ENGINEERING DESIGN(ME751),3-0-0-0(9),ANUPAM  SAXENA   (I),WF 10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
733,COMPUTER AIDED ENGINEERING DESIGN(ME751A),3-0-0-0(9),ANUPAM  SAXENA   (I),W (T103) F (T103)  10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
734,VIBRATION CONTROL(ME756),3-0-0-0(9),B  BHATTACHARYA   (I),"W 12:00-13:00 ,F 14:00-15:00 ,T 17:00-18:00",,,W,1,,12:00 PM,13:00 PM,F,,14:00 PM,15:00 PM,17:00 PM,18:00 PM,T,,,
735,VIBRATION CONTROL(ME756A),3-0-0-0(9),B  BHATTACHARYA   (I),"W (T103)  12:00-13:00 ,F (T103)  14:00-15:00 ,T (T103)  17:00-18:00",,,W,1,,12:00 PM,13:00 PM,F,,14:00 PM,15:00 PM,17:00 PM,18:00 PM,T,,,
736,DYNAMICS OF ROTATING MACHINERY(ME757),3-0-0-0(9),N S  VYAS   (I),"TF 12:00-13:00 ,W 14:00-15:00",,,T,F,,12:00 PM,13:00 PM,W,,14:00 PM,15:00 PM,,,,,,
737,DYNAMICS OF ROTATING MACHINERY(ME757A),3-0-0-0(9),N S  VYAS   (I),"T (T108) F (T108)  12:00-13:00 ,W (T108)  14:00-15:00",,,T,F,,12:00 PM,13:00 PM,W,,14:00 PM,15:00 PM,,,,,,
738,INTRODUCTION TO ROBOTICS(ME762),3-0-0-0(9),ASHISH  DUTTA   (I),WF 17:00-18:30,,,W,F,,17:00 PM,18:30 PM,,,,,,,,,,
739,INTRODUCTION TO ROBOTICS(ME762A),3-0-0-0(9),ASHISH  DUTTA   (I),W (L01) F (L01)  17:00-18:30,,,W,F,,17:00 PM,18:30 PM,,,,,,,,,,
740,MANUFACTURING AUTOMATION(ME765),3-0-0-0(9),Keval Ramani(I),WF 09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
741,MANUFACTURING AUTOMATION(ME765A),3-0-0-0(9),Keval Ramani(I),W (T105) F (T105)  09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
742,PHD THESIS(ME799),0-0-0-0(0),DPGCME (I),,,,,,,,,,,,,,,,,,
